time,device,vmCount,ramUsed,ramTotal,ramUtilPercent,cpuUtilPercent,energyConsumed,anomaly_score,anomaly,is_anomaly
10,cloud,4,2000,40000,5.0,55.14,0.001,-0.10367799723456705,-1,True
10,fog-0,4,3500,4000,87.5,49.66,0.001,0.11110977325967997,1,False
10,cam-1,2,800,1000,80.0,16.47,0.001,0.16749669748480178,1,False
10,cam-2,2,800,1000,80.0,18.48,0.001,0.19564800478579414,1,False
10,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
10,signal-monitor,2,600,1024,58.59,7.43,0.001,0.056001829036105066,1,False
10,irrigation-controller,2,300,2048,14.65,7.05,0.001,0.05359048184776982,1,False
100,cloud,4,2000,40000,5.0,41.58,0.001,-0.06245682104644246,-1,True
100,fog-0,4,3500,4000,87.5,43.15,0.001,0.04295544615043845,1,False
100,cam-1,2,800,1000,80.0,18.37,0.001,0.19205178480983798,1,False
100,cam-2,2,800,1000,80.0,23.37,0.001,0.19617291530180053,1,False
100,soil-sensor-node,2,400,512,78.13,2.19,0.001,0.09425031072411605,1,False
100,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
100,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
110,cloud,4,2000,40000,5.0,43.45,0.001,-0.07675026716912714,-1,True
110,fog-0,4,3500,4000,87.5,36.37,0.001,-0.056945206734900555,-1,True
110,cam-1,2,800,1000,80.0,22.79,0.001,0.20102388924859832,1,False
110,cam-2,2,800,1000,80.0,8.86,0.001,0.08657588200999711,1,False
110,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
110,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
110,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
200,cloud,4,2000,40000,5.0,41.83,0.001,-0.0664445393579387,-1,True
200,fog-0,4,3500,4000,87.5,43.79,0.001,0.044741683273032296,1,False
200,cam-1,2,800,1000,80.0,13.68,0.001,0.14281911401032904,1,False
200,cam-2,2,800,1000,80.0,10.69,0.001,0.10732107805339897,1,False
200,soil-sensor-node,2,400,512,78.13,9.31,0.001,-0.009523037560026593,-1,True
200,signal-monitor,2,600,1024,58.59,5.36,0.001,0.08259918148628598,1,False
200,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
200,cloud,4,2000,40000,5.0,47.58,0.001,-0.09150978304155899,-1,True
200,fog-0,4,3500,4000,87.5,38.6,0.001,-0.029999239321419457,-1,True
200,cam-1,2,800,1000,80.0,13.58,0.001,0.14387516629843267,1,False
200,cam-2,2,800,1000,80.0,18.92,0.001,0.19423292148669652,1,False
200,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
200,signal-monitor,2,600,1024,58.59,1.93,0.001,0.11292244960720094,1,False
200,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
210,cloud,4,2000,40000,5.0,37.8,0.001,-0.019446671754338785,-1,True
210,fog-0,4,3500,4000,87.5,54.5,0.001,0.08168674864190151,1,False
210,cam-1,2,800,1000,80.0,10.75,0.001,0.10732107805339897,1,False
210,cam-2,2,800,1000,80.0,19.6,0.001,0.19399004309373458,1,False
210,soil-sensor-node,2,400,512,78.13,6.13,0.001,0.05446142263578102,1,False
210,signal-monitor,2,600,1024,58.59,4.6,0.001,0.0943669022134499,1,False
210,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
300,cloud,4,2000,40000,5.0,33.3,0.001,0.054458569333704854,1,False
300,fog-0,4,3500,4000,87.5,37.47,0.001,-0.04614459793188497,-1,True
300,cam-1,2,800,1000,80.0,14.79,0.001,0.15636328889819867,1,False
300,cam-2,2,800,1000,80.0,18.08,0.001,0.19389302778591538,1,False
300,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
300,signal-monitor,2,600,1024,58.59,0.23,0.001,0.12168841713743961,1,False
300,irrigation-controller,2,300,2048,14.65,40.8,0.001,-0.10006401022366618,-1,True
300,cloud,4,2000,40000,5.0,45.09,0.001,-0.08180162475397168,-1,True
300,fog-0,4,3500,4000,87.5,36.74,0.001,-0.052862999906034824,-1,True
300,cam-1,2,800,1000,80.0,15.73,0.001,0.16007812738300164,1,False
300,cam-2,2,800,1000,80.0,14.35,0.001,0.14982135996801232,1,False
300,soil-sensor-node,2,400,512,78.13,8.18,0.001,0.008701807370492753,1,False
300,signal-monitor,2,600,1024,58.59,24.52,0.001,0.01625180020219197,1,False
300,irrigation-controller,2,300,2048,14.65,6.84,0.001,0.05639973659971764,1,False
300,cloud,4,2000,40000,5.0,42.28,0.001,-0.07022516761832753,-1,True
300,fog-0,4,3500,4000,87.5,49.35,0.001,0.11021725169878382,1,False
300,cam-1,2,800,1000,80.0,12.95,0.001,0.13694253485564395,1,False
300,cam-2,2,800,1000,80.0,23.51,0.001,0.2002514643071091,1,False
300,soil-sensor-node,2,400,512,78.13,4.62,0.001,0.07973344579661967,1,False
300,signal-monitor,2,600,1024,58.59,4.04,0.001,0.10098513334744275,1,False
300,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
310,cloud,4,2000,40000,5.0,41.69,0.001,-0.06506785944747984,-1,True
310,fog-0,4,3500,4000,87.5,51.13,0.001,0.08570448841232237,1,False
310,cam-1,2,800,1000,80.0,20.12,0.001,0.19754547675069284,1,False
310,cam-2,2,800,1000,80.0,12.09,0.001,0.12566875368147568,1,False
310,soil-sensor-node,2,400,512,78.13,1.48,0.001,0.11357274233805215,1,False
310,signal-monitor,2,600,1024,58.59,8.4,0.001,0.05008561046310123,1,False
310,irrigation-controller,2,300,2048,14.65,11.9,0.001,-0.029936204096403962,-1,True
400,cloud,4,2000,40000,5.0,34.19,0.001,0.041018487424893,1,False
400,fog-0,4,3500,4000,87.5,46.69,0.001,0.0791097820420994,1,False
400,cam-1,2,800,1000,80.0,16.13,0.001,0.16495300901446364,1,False
